x,y,z
13006902.56,3128193.57,5000.00
13007503.81,3128713.38,5000.00
13008105.05,3129233.18,5000.00
13008706.29,3129752.99,5000.00
13009307.53,3130272.79,5000.00
13009908.78,3130792.60,5000.00
13010510.02,3131312.40,5000.00
13011111.26,3131832.21,5000.00
13011712.51,3132352.02,5000.00
13012313.75,3132871.82,5000.00
13012914.99,3133391.63,5000.00
13013516.24,3133911.43,5000.00
13014117.48,3134431.24,5000.00
13014718.72,3134951.04,5000.00
13015319.97,3135470.85,5000.00
13015921.21,3135990.66,5000.00
13016522.45,3136510.46,5000.00
13017123.70,3137030.27,5000.00
13017724.94,3137550.07,5000.00
13018326.18,3138069.88,5000.00
13018927.42,3138589.68,5000.00
13019528.67,3139109.49,5000.00
13020129.91,3139629.30,5000.00
13020731.15,3140149.10,5000.00
13021332.40,3140668.91,5000.00
13021933.64,3141188.71,5000.00
13022534.88,3141708.52,5000.00
13023136.13,3142228.33,5000.00
13023737.37,3142748.13,5000.00
13024338.61,3143267.94,5000.00
13024939.86,3143787.74,5000.00
13025541.10,3144307.55,5000.00
13026142.34,3144827.35,5000.00
13026743.59,3145347.16,5000.00
13027344.83,3145866.97,5000.00
13027946.07,3146386.77,5000.00
13028547.31,3146906.58,5000.00
13029148.56,3147426.38,5000.00
13029749.80,3147946.19,5000.00
13030351.04,3148465.99,5000.00
13030952.29,3148985.80,5000.00
13031553.53,3149505.61,5000.00
13032154.77,3150025.41,5000.00
13032756.02,3150545.22,5000.00
13033357.26,3151065.02,5000.00
13033958.50,3151584.83,5000.00
13034559.75,3152104.64,5000.00
13035160.99,3152624.44,5000.00
13035762.23,3153144.25,5000.00
13036363.48,3153664.05,5000.00
13036964.72,3154183.86,5000.00
13037565.96,3154703.66,5000.00
13038167.20,3155223.47,5000.00
13038768.45,3155743.28,5000.00
13039369.69,3156263.08,5000.00
13039970.93,3156782.89,5000.00
13040572.18,3157302.69,5000.00
13041173.42,3157822.50,5000.00
13041774.66,3158342.30,5000.00
13042375.91,3158862.11,5000.00
13042977.15,3159381.92,5000.00
13043578.39,3159901.72,5000.00
13044179.64,3160421.53,5000.00
13044780.88,3160941.33,5000.00
13045382.12,3161461.14,5000.00
13045983.37,3161980.95,5000.00
13046584.61,3162500.75,5000.00
13047185.85,3163020.56,5000.00
13047787.09,3163540.36,5000.00
13048388.34,3164060.17,5000.00
13048989.58,3164579.97,5000.00
13049590.82,3165099.78,5000.00
13050192.07,3165619.59,5000.00
13050793.31,3166139.39,5000.00
13051394.55,3166659.20,5000.00
13051995.80,3167179.00,5000.00
13052597.04,3167698.81,5000.00
13053198.28,3168218.61,5000.00
13053799.53,3168738.42,5000.00
13054400.77,3169258.23,5000.00
13055002.01,3169778.03,5000.00
13055603.26,3170297.84,5000.00
13056204.50,3170817.64,5000.00
13056805.74,3171337.45,5000.00
13057406.98,3171857.26,5000.00
13058008.23,3172377.06,5000.00
13058609.47,3172896.87,5000.00
13059210.71,3173416.67,5000.00
13059811.96,3173936.48,5000.00
13060413.20,3174456.28,5000.00
13061014.44,3174976.09,5000.00
13061615.69,3175495.90,5000.00
13062216.93,3176015.70,5000.00
13062818.17,3176535.51,5000.00
13063419.42,3177055.31,5000.00
13064020.66,3177575.12,5000.00
13064621.90,3178094.92,5000.00
13065223.15,3178614.73,5000.00
13065824.39,3179134.54,5000.00
13066425.63,3179654.34,5000.00
13067026.87,3180174.15,5000.00
13067628.12,3180693.95,5000.00
13068229.36,3181213.76,5000.00
13068830.60,3181733.57,5000.00
13069431.85,3182253.37,5000.00
13070033.09,3182773.18,5000.00
13070634.33,3183292.98,5000.00
13071235.58,3183812.79,5000.00
13071836.82,3184332.59,5000.00
13072438.06,3184852.40,5000.00
13073039.31,3185372.21,5000.00
13073640.55,3185892.01,5000.00
13074241.79,3186411.82,5000.00
13074843.04,3186931.62,5000.00
13075444.28,3187451.43,5000.00
13076045.52,3187971.23,5000.00
13076646.76,3188491.04,5000.00
13077248.01,3189010.85,5000.00
13077849.25,3189530.65,5000.00
13078450.49,3190050.46,5000.00
13079051.74,3190570.26,5000.00
13079652.98,3191090.07,5000.00
13080254.22,3191609.88,5000.00
13080855.47,3192129.68,5000.00
13081456.71,3192649.49,5000.00
13082057.95,3193169.29,5000.00
13082659.20,3193689.10,5000.00
13083260.44,3194208.90,5000.00
13083861.68,3194728.71,5000.00
13084462.93,3195248.52,5000.00
13085064.17,3195768.32,5000.00
13085665.41,3196288.13,5000.00
13086266.65,3196807.93,5000.00
13086867.90,3197327.74,5000.00
13087469.14,3197847.54,5000.00
13088070.38,3198367.35,5000.00
13088671.63,3198887.16,5000.00
13089272.87,3199406.96,5000.00
13089874.11,3199926.77,5000.00
13090475.36,3200446.57,5000.00
13091076.60,3200966.38,5000.00
13091677.84,3201486.19,5000.00
13092279.09,3202005.99,5000.00
13092880.33,3202525.80,5000.00
13093481.57,3203045.60,5000.00
13094082.82,3203565.41,5000.00
13094684.06,3204085.21,5000.00
13095285.30,3204605.02,5000.00
13095886.54,3205124.83,5000.00
13096487.79,3205644.63,5000.00
13097089.03,3206164.44,5000.00
13097690.27,3206684.24,5000.00
13098291.52,3207204.05,5000.00
13098892.76,3207723.85,5000.00
13099494.00,3208243.66,5000.00
13100095.25,3208763.47,5000.00
13100696.49,3209283.27,5000.00
13101297.73,3209803.08,5000.00
13101898.98,3210322.88,5000.00
13102500.22,3210842.69,5000.00
13103101.46,3211362.49,5000.00
13103702.71,3211882.30,5000.00
13104303.95,3212402.11,5000.00
13104905.19,3212921.91,5000.00
13105506.43,3213441.72,5000.00
13106107.68,3213961.52,5000.00
13106708.92,3214481.33,5000.00
13107310.16,3215001.14,5000.00
13107911.41,3215520.94,5000.00
13108512.65,3216040.75,5000.00
13109113.89,3216560.55,5000.00
13109715.14,3217080.36,5000.00
13110316.38,3217600.16,5000.00
13110917.62,3218119.97,5000.00
13111518.87,3218639.78,5000.00
13112120.11,3219159.58,5000.00
13112721.35,3219679.39,5000.00
13113322.60,3220199.19,5000.00
13113923.84,3220719.00,5000.00
13114525.08,3221238.80,5000.00
