x,y,z
12999730.82,3122620.35,5000.00
13000332.63,3123139.50,5000.00
13000934.44,3123658.65,5000.00
13001536.25,3124177.80,5000.00
13002138.06,3124696.95,5000.00
13002739.87,3125216.10,5000.00
13003341.67,3125735.26,5000.00
13003943.48,3126254.41,5000.00
13004545.29,3126773.56,5000.00
13005147.10,3127292.71,5000.00
13005748.91,3127811.86,5000.00
13006350.72,3128331.01,5000.00
13006952.52,3128850.16,5000.00
13007554.33,3129369.31,5000.00
13008156.14,3129888.47,5000.00
13008757.95,3130407.62,5000.00
13009359.76,3130926.77,5000.00
13009961.57,3131445.92,5000.00
13010563.38,3131965.07,5000.00
13011165.18,3132484.22,5000.00
13011766.99,3133003.37,5000.00
13012368.80,3133522.52,5000.00
13012970.61,3134041.67,5000.00
13013572.42,3134560.83,5000.00
13014174.23,3135079.98,5000.00
13014776.03,3135599.13,5000.00
13015377.84,3136118.28,5000.00
13015979.65,3136637.43,5000.00
13016581.46,3137156.58,5000.00
13017183.27,3137675.73,5000.00
13017785.08,3138194.88,5000.00
13018386.89,3138714.03,5000.00
13018988.69,3139233.19,5000.00
13019590.50,3139752.34,5000.00
13020192.31,3140271.49,5000.00
13020794.12,3140790.64,5000.00
13021395.93,3141309.79,5000.00
13021997.74,3141828.94,5000.00
13022599.54,3142348.09,5000.00
13023201.35,3142867.24,5000.00
13023803.16,3143386.39,5000.00
13024404.97,3143905.55,5000.00
13025006.78,3144424.70,5000.00
13025608.59,3144943.85,5000.00
13026210.40,3145463.00,5000.00
13026812.20,3145982.15,5000.00
13027414.01,3146501.30,5000.00
13028015.82,3147020.45,5000.00
13028617.63,3147539.60,5000.00
13029219.44,3148058.76,5000.00
13029821.25,3148577.91,5000.00
13030423.06,3149097.06,5000.00
13031024.86,3149616.21,5000.00
13031626.67,3150135.36,5000.00
13032228.48,3150654.51,5000.00
13032830.29,3151173.66,5000.00
13033432.10,3151692.81,5000.00
13034033.91,3152211.96,5000.00
13034635.71,3152731.12,5000.00
13035237.52,3153250.27,5000.00
13035839.33,3153769.42,5000.00
13036441.14,3154288.57,5000.00
13037042.95,3154807.72,5000.00
13037644.76,3155326.87,5000.00
13038246.57,3155846.02,5000.00
13038848.37,3156365.17,5000.00
13039450.18,3156884.32,5000.00
13040051.99,3157403.48,5000.00
13040653.80,3157922.63,5000.00
13041255.61,3158441.78,5000.00
13041857.42,3158960.93,5000.00
13042459.22,3159480.08,5000.00
13043061.03,3159999.23,5000.00
13043662.84,3160518.38,5000.00
13044264.65,3161037.53,5000.00
13044866.46,3161556.68,5000.00
13045468.27,3162075.84,5000.00
13046070.08,3162594.99,5000.00
13046671.88,3163114.14,5000.00
13047273.69,3163633.29,5000.00
13047875.50,3164152.44,5000.00
13048477.31,3164671.59,5000.00
13049079.12,3165190.74,5000.00
13049680.93,3165709.89,5000.00
13050282.74,3166229.04,5000.00
13050884.54,3166748.20,5000.00
13051486.35,3167267.35,5000.00
13052088.16,3167786.50,5000.00
13052689.97,3168305.65,5000.00
13053291.78,3168824.80,5000.00
13053893.59,3169343.95,5000.00
13054495.39,3169863.10,5000.00
13055097.20,3170382.25,5000.00
13055699.01,3170901.41,5000.00
13056300.82,3171420.56,5000.00
13056902.63,3171939.71,5000.00
13057504.44,3172458.86,5000.00
13058106.25,3172978.01,5000.00
13058708.05,3173497.16,5000.00
13059309.86,3174016.31,5000.00
13059911.67,3174535.46,5000.00
13060513.48,3175054.61,5000.00
13061115.29,3175573.77,5000.00
13061717.10,3176092.92,5000.00
13062318.90,3176612.07,5000.00
13062920.71,3177131.22,5000.00
13063522.52,3177650.37,5000.00
13064124.33,3178169.52,5000.00
13064726.14,3178688.67,5000.00
13065327.95,3179207.82,5000.00
13065929.76,3179726.97,5000.00
13066531.56,3180246.13,5000.00
13067133.37,3180765.28,5000.00
13067735.18,3181284.43,5000.00
13068336.99,3181803.58,5000.00
13068938.80,3182322.73,5000.00
13069540.61,3182841.88,5000.00
13070142.41,3183361.03,5000.00
13070744.22,3183880.18,5000.00
13071346.03,3184399.33,5000.00
13071947.84,3184918.49,5000.00
13072549.65,3185437.64,5000.00
13073151.46,3185956.79,5000.00
13073753.27,3186475.94,5000.00
13074355.07,3186995.09,5000.00
13074956.88,3187514.24,5000.00
13075558.69,3188033.39,5000.00
13076160.50,3188552.54,5000.00
13076762.31,3189071.70,5000.00
13077364.12,3189590.85,5000.00
13077965.93,3190110.00,5000.00
13078567.73,3190629.15,5000.00
13079169.54,3191148.30,5000.00
13079771.35,3191667.45,5000.00
13080373.16,3192186.60,5000.00
13080974.97,3192705.75,5000.00
13081576.78,3193224.90,5000.00
13082178.58,3193744.06,5000.00
13082780.39,3194263.21,5000.00
13083382.20,3194782.36,5000.00
13083984.01,3195301.51,5000.00
13084585.82,3195820.66,5000.00
13085187.63,3196339.81,5000.00
13085789.44,3196858.96,5000.00
13086391.24,3197378.11,5000.00
13086993.05,3197897.26,5000.00
13087594.86,3198416.42,5000.00
13088196.67,3198935.57,5000.00
13088798.48,3199454.72,5000.00
13089400.29,3199973.87,5000.00
13090002.09,3200493.02,5000.00
13090603.90,3201012.17,5000.00
13091205.71,3201531.32,5000.00
13091807.52,3202050.47,5000.00
13092409.33,3202569.62,5000.00
13093011.14,3203088.78,5000.00
13093612.95,3203607.93,5000.00
13094214.75,3204127.08,5000.00
13094816.56,3204646.23,5000.00
13095418.37,3205165.38,5000.00
13096020.18,3205684.53,5000.00
13096621.99,3206203.68,5000.00
13097223.80,3206722.83,5000.00
13097825.60,3207241.98,5000.00
13098427.41,3207761.14,5000.00
13099029.22,3208280.29,5000.00
13099631.03,3208799.44,5000.00
13100232.84,3209318.59,5000.00
13100834.65,3209837.74,5000.00
13101436.46,3210356.89,5000.00
13102038.26,3210876.04,5000.00
13102640.07,3211395.19,5000.00
13103241.88,3211914.35,5000.00
13103843.69,3212433.50,5000.00
13104445.50,3212952.65,5000.00
13105047.31,3213471.80,5000.00
13105649.12,3213990.95,5000.00
13106250.92,3214510.10,5000.00
13106852.73,3215029.25,5000.00
13107454.54,3215548.40,5000.00
13108056.35,3216067.55,5000.00
13108658.16,3216586.71,5000.00
13109259.97,3217105.86,5000.00
13109861.77,3217625.01,5000.00
13110463.58,3218144.16,5000.00
13111065.39,3218663.31,5000.00
13111667.20,3219182.46,5000.00
13112269.01,3219701.61,5000.00
13112870.82,3220220.76,5000.00
13113472.63,3220739.91,5000.00
13114074.43,3221259.07,5000.00
13114676.24,3221778.22,5000.00
13115278.05,3222297.37,5000.00
13115879.86,3222816.52,5000.00
13116481.67,3223335.67,5000.00
13117083.48,3223854.82,5000.00
13117685.28,3224373.97,5000.00
13118287.09,3224893.12,5000.00
13118888.90,3225412.27,5000.00
13119490.71,3225931.43,5000.00
13120092.52,3226450.58,5000.00
13120694.33,3226969.73,5000.00
13121296.14,3227488.88,5000.00
13121897.94,3228008.03,5000.00
13122499.75,3228527.18,5000.00
13123101.56,3229046.33,5000.00
13123703.37,3229565.48,5000.00
13124305.18,3230084.64,5000.00
13124906.99,3230603.79,5000.00
13125508.79,3231122.94,5000.00
13126110.60,3231642.09,5000.00
13126712.41,3232161.24,5000.00
13127314.22,3232680.39,5000.00
13127916.03,3233199.54,5000.00
13128517.84,3233718.69,5000.00
13129119.65,3234237.84,5000.00
13129721.45,3234757.00,5000.00
13130323.26,3235276.15,5000.00
13130925.07,3235795.30,5000.00
13131526.88,3236314.45,5000.00
13132128.69,3236833.60,5000.00
13132730.50,3237352.75,5000.00
13133332.31,3237871.90,5000.00
13133934.11,3238391.05,5000.00
13134535.92,3238910.20,5000.00
13135137.73,3239429.36,5000.00
13135739.54,3239948.51,5000.00
13136341.35,3240467.66,5000.00
13136943.16,3240986.81,5000.00
13137544.96,3241505.96,5000.00
13138146.77,3242025.11,5000.00
13138748.58,3242544.26,5000.00
13139350.39,3243063.41,5000.00
13139952.20,3243582.56,5000.00
13140554.01,3244101.72,5000.00
13141155.82,3244620.87,5000.00
13141757.62,3245140.02,5000.00
13142359.43,3245659.17,5000.00
13142961.24,3246178.32,5000.00
13143563.05,3246697.47,5000.00
13144164.86,3247216.62,5000.00
13144766.67,3247735.77,5000.00
13145368.47,3248254.92,5000.00
13145970.28,3248774.08,5000.00
13146572.09,3249293.23,5000.00
13147173.90,3249812.38,5000.00
13147775.71,3250331.53,5000.00
13148377.52,3250850.68,5000.00
13148979.33,3251369.83,5000.00
13149581.13,3251888.98,5000.00
13150182.94,3252408.13,5000.00
13150784.75,3252927.29,5000.00
13151386.56,3253446.44,5000.00
13151988.37,3253965.59,5000.00
13152590.18,3254484.74,5000.00
13153191.99,3255003.89,5000.00
13153793.79,3255523.04,5000.00
13154395.60,3256042.19,5000.00
13154997.41,3256561.34,5000.00
13155599.22,3257080.49,5000.00
13156201.03,3257599.65,5000.00
13156802.84,3258118.80,5000.00
13157404.64,3258637.95,5000.00
13158006.45,3259157.10,5000.00
13158608.26,3259676.25,5000.00
13159210.07,3260195.40,5000.00
13159811.88,3260714.55,5000.00
13160413.69,3261233.70,5000.00
13161015.50,3261752.85,5000.00
13161617.30,3262272.01,5000.00
13162219.11,3262791.16,5000.00
13162820.92,3263310.31,5000.00
13163422.73,3263829.46,5000.00
13164024.54,3264348.61,5000.00
13164626.35,3264867.76,5000.00
13165228.15,3265386.91,5000.00
13165829.96,3265906.06,5000.00
13166431.77,3266425.21,5000.00
13167033.58,3266944.37,5000.00
13167635.39,3267463.52,5000.00
13168237.20,3267982.67,5000.00
13168839.01,3268501.82,5000.00
13169440.81,3269020.97,5000.00
13170042.62,3269540.12,5000.00
13170644.43,3270059.27,5000.00
13171246.24,3270578.42,5000.00
13171848.05,3271097.58,5000.00
13172449.86,3271616.73,5000.00
13173051.66,3272135.88,5000.00
13173653.47,3272655.03,5000.00
13174255.28,3273174.18,5000.00
13174857.09,3273693.33,5000.00
13175458.90,3274212.48,5000.00
13176060.71,3274731.63,5000.00
13176662.52,3275250.78,5000.00
13177264.32,3275769.94,5000.00
13177866.13,3276289.09,5000.00
13178467.94,3276808.24,5000.00
13179069.75,3277327.39,5000.00
13179671.56,3277846.54,5000.00
13180273.37,3278365.69,5000.00
13180875.18,3278884.84,5000.00
13181476.98,3279403.99,5000.00
13182078.79,3279923.14,5000.00
13182680.60,3280442.30,5000.00
13183282.41,3280961.45,5000.00
13183884.22,3281480.60,5000.00
13184486.03,3281999.75,5000.00
13185087.83,3282518.90,5000.00
13185689.64,3283038.05,5000.00
13186291.45,3283557.20,5000.00
13186893.26,3284076.35,5000.00
13187495.07,3284595.50,5000.00
